QSO                        RA        DEC       zem         Ref                 INSTR  SPEC_FILE
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  FUSE  TONS180lif1b_c.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G230L_F.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G230MB_F.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G140M_hi_F.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G140M_lo_F.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G140M_F.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G140L_F.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G230L_E.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G230MB_E.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G140M_hi_E.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G140M_lo_E.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G140M_E.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G140L_E.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G230MB_c.fits
               TONS180   14.33338  -22.38231  0.06200     2003ApJS..145..199M  STIS  TONS180_ST_G140M_c.fits

            PG0117+213   20.07187   21.56283  1.49300     1983ApJ...269..352S  STIS  PG0117+213_E230M_F.fits
            PG0117+213   20.07187   21.56283  1.49300     1983ApJ...269..352S  STIS  PG0117+213_E230M_E.fits
            PG0117+213   20.07187   21.56283  1.49300     1983ApJ...269..352S  STIS  PG0117+213_E230M_c.fits

               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210lif2a.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210sic1b.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210sic2b.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210lif1a.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210lif2b.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210sic1a.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210sic2a.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210lif1b.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210lif2a_c.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210sic1b_c.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210sic2b_c.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210lif1a_c.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210lif2b_c.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210sic1a_c.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210sic2a_c.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  FUSE  TONS210lif1b_c.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  STIS  TONS210_ST_G230MB_F.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  STIS  TONS210_ST_E230M_F.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  STIS  TONS210_ST_E140M_F.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  STIS  TONS210_ST_G230MB_E.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  STIS  TONS210_ST_E230M_E.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  STIS  TONS210_ST_E140M_E.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  STIS  TONS210_ST_G230MB_c.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  STIS  TONS210_ST_E230M_c.fits
               TONS210   20.46467  -28.34933  0.11600     2000A&A...358...77W  STIS  TONS210_ST_E140M_c.fits

           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410lif2a.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410sic1b.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410sic2b.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410lif1a.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410lif2b.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410sic1a.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410sic2a.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410lif1b.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410lif2a_c.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410sic1b_c.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410sic2b_c.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410lif2b_c.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410sic1a_c.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410sic2a_c.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  FUSE  HE0226-4410lif1b_c.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  STIS  HE0226-441_E140M_F.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  STIS  HE0226-441_E140M_E.fits
           HE0226-4410   37.06342  -40.95434  0.49500     2000A&A...358...77W  STIS  HE0226-441_E140M_c.fits

            PKS0232-04   38.78042   -4.03500  1.43979     20056dF...C...0000J  STIS  PKS0232-04_E230M_F.fits
            PKS0232-04   38.78042   -4.03500  1.43979     20056dF...C...0000J  STIS  PKS0232-04_E230M_E.fits
            PKS0232-04   38.78042   -4.03500  1.43979     20056dF...C...0000J  STIS  PKS0232-04_E230M_c.fits

             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  FUSE  B0312-770sic2a.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  FUSE  B0312-770lif1b.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  FUSE  B0312-770lif2b.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  FUSE  B0312-770sic1a.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  FUSE  B0312-770sic2b.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  FUSE  B0312-770lif1a.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  FUSE  B0312-770lif2a.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  FUSE  B0312-770sic1b.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  STIS  B0312-770__G750L_F.fits
